postal_code,rooms,area,garden_area,price
2103,3,73,0,332900
1130,2,62,0,469000
2103,2,60,0,285200
2103,3,78,0,361700
2103,3,78,0,345600
1110,2,74,0,374400
1110,3,70,0,367000
1150,3,82,0,330000
1030,0,764,0,4290000
9587,55,235,0,0
1220,2,43,0,200380
8582,0,200,0,0
4263,0,600,0,1200000
5630,0,940,0,0
3580,0,0,0,380000
3580,4,110,0,350000
6812,0,200,0,0
3203,0,2337,0,0
2103,3,78,0,371600
2103,2,58,0,269700
4372,4,90,0,175000
8112,4,94,0,337000
8010,2,66,0,279500
1110,2,61,0,314800
1130,5,182,0,1595000
3950,35,150,0,249000
1230,3,80,0,339000
2500,3,79,0,355000
1120,3,80,0,380000
2285,4,107,230,339900
7111,5,187,0,769000
4864,0,0,0,0
2285,4,107,230,339900
2102,0,120,70,399900
1200,2,45,0,287200
8480,35,92,0,262257
8230,5,127,700,389000
2020,3,74,0,329000
2020,3,74,0,329000
6323,4,88,0,490000
5550,5,138,0,675000
1150,6,122,0,892000
1150,6,122,0,892000
1190,2,57,0,599000
8402,3,80,0,242575
1090,6,180,0,2957500
8020,0,1110,0,0
8042,0,3450,0,0
5542,0,175,203,1299900
5542,0,180,136,1299900
2073,5,133,183,309000
4210,6,180,0,549000
2230,5,152,0,589000
6754,14,330,250,950000
1220,4,110,0,690000
2020,3,74,0,324000
2020,3,74,0,324000
2020,3,74,0,324000
2020,3,74,0,324000
4300,5,125,184,449000
2232,4,100,0,329000
1010,2,63,0,1115000
1010,2,95,0,1605000
1010,2,49,0,875000
1010,2,49,0,915000
1010,2,63,0,1165000
1010,2,72,0,1315000
1010,3,92,0,1655000
7461,8,205,0,399000
1200,33,70,0,0
1200,3,90,0,748000
1200,3,70,0,584000
2481,4,124,0,448332
2481,4,112,0,425861
2442,4,107,440,400000
8230,4,89,0,261459
1190,3,107,0,1050000
6281,3,81,0,0
3500,3,62,0,315000
8212,3,67,0,208289
1140,3,69,0,529000
1140,3,69,0,529000
3595,0,350,0,299000
1210,4,97,0,74900005
1210,3,60,0,449000
1210,2,48,0,3200001
1210,2,48,0,29500005
1030,2,91,0,564000
2232,4,87,0,249000
8212,4,103,0,310050
2481,6,158,0,497552
2481,6,152,0,497550
2391,2,50,0,25810001
9212,0,6688,0,800000
2170,0,70,0,129000
4052,2,36,0,107000
4720,4,100,0,399950
4720,3,75,0,275500
9560,5,211,0,599000
8225,8,273,0,595000
4020,4,193,0,1888888
1070,3,100,0,890000
2353,4,93,0,517000
1160,0,149,0,440000
1110,0,488,0,775000
1140,4,800,0,770000
6065,0,1125,0,0
2320,5,138,49,568000
2320,5,138,52,568000
2320,5,138,47,568000
6820,2,77,0,401544
4690,25,70,0,139000
4650,0,1859,0,0
2320,5,138,49,568000
8043,2,45,0,219450
1100,3,104,0,395000
9241,5,171,0,599000
5212,154,30,0,0
4974,3,75,0,0
6791,5,121,0,0
6791,5,121,0,0
6791,5,121,0,0
9330,25,73,0,119000
5743,45,110,0,698000
5743,2,55,0,346000
8183,6,174,0,795000
9300,0,300,0,650000
2305,0,237,0,326600
1210,0,38,0,113000
1090,0,0,0,411000
1190,0,217,0,2261000
9546,0,102,0,395000
6370,0,723,0,14500000
8410,16,380,0,1170000
8410,16,380,818,1170000
8402,16,380,818,1170000
8402,16,380,0,1170000
1180,4,110,0,750000
3943,0,129,0,249000
8010,2,56,0,173000
3852,0,0,0,5000
1180,15,39,0,279000
1150,1,32,0,160000
1140,1,30,0,166000
5582,0,119,0,237200
1210,0,58,0,148000
3100,3,69,0,22882078
3100,2,52,0,19269119
3100,3,72,0,27398278
3100,3,75,0,26193958
3100,3,72,0,27699358
3100,3,69,0,24989637
3100,3,69,0,24387478
3100,3,68,0,24688558
3100,3,69,0,23183158
3100,2,52,0,18968039
3100,3,68,0,25591798
3100,3,69,0,24387478
3100,4,87,0,34022038
3100,4,87,0,35828518
3100,3,69,0,2444032
3100,2,52,0,20172359
3100,2,52,0,19570199
3100,3,68,0,25290718
3100,3,69,0,24989637
3100,3,69,0,22629926
3100,3,75,0,25591798
3100,2,52,0,19570199
3100,3,69,0,23183158
3100,4,85,0,30409078
3100,3,69,0,24086398
3100,3,68,0,23785318
3100,4,87,0,34925277
3100,4,87,0,36731758
3100,3,71,0,26796118
3100,3,72,0,29204758
3100,2,52,0,19871279
3100,3,69,0,24387478
3100,2,52,0,19871279
3100,2,52,0,19570199
3100,2,52,0,19570199
3100,3,68,0,24688558
3100,3,69,0,24086398
3100,3,68,0,23484238
3100,2,52,0,19269119
3100,2,52,0,19269119
3100,3,68,0,23484238
3100,3,69,0,23785318
3100,4,85,0,33118797
3100,4,85,0,31312319
3100,4,87,0,35302685
3100,2,52,0,19914335
3100,3,68,0,24688558
3100,3,68,0,24742053
3100,3,68,0,22629926
3100,2,52,0,19612602
3100,3,75,0,2564725
3100,2,52,0,19914334
3100,3,72,0,2956977
3100,2,52,0,1931087
3100,3,68,0,22629926
3100,3,75,0,26552447
3100,4,87,0,34095754
3100,4,87,0,3590615
3100,3,68,0,25345517
3100,3,69,0,25043784
3100,2,52,0,19612602
3100,2,52,0,19612602
3100,2,52,0,1931087
3100,3,68,0,24742053
3100,2,52,0,19009137
3100,3,69,0,23836856
3100,4,85,0,31380164
3240,3,71,0,138400
3362,3,93,0,184594
3362,3,94,0,185580
3240,4,88,0,208390
3240,3,74,0,158100
2860,3,79,0,127000
206,3,72,0,161817
3240,3,71,0,143300
3362,4,93,0,183147
3240,3,71,0,149850
3240,3,71,0,138400
3240,3,71,0,138400
3300,3,75,0,144530
3710,3,72,0,162100
5761,0,2271,0,5000000
3620,10,125,0,1720000
8551,0,1001,0,308500
1100,25,71,0,335000
4974,3,56,0,0
1190,2,98,0,899000
1130,1,36,0,219000
2201,7,155,0,995000
4974,3,55,0,0
6372,3,100,0,890000
8330,8,214,0,419000
2340,2,50,0,269900
1100,3,71,0,651795
1100,2,38,0,29046194
1100,2,40,0,263382
1100,2,40,0,249075
1100,2,40,0,249075
1100,2,40,0,23247059
1100,2,40,0,232470
1100,2,42,0,3383132
1100,3,81,0,742065
1100,2,50,0,26876274
1100,2,51,0,4340265
1100,2,42,0,247630
1100,2,42,0,265321
1100,2,42,0,24763293
1100,2,42,0,265321
1100,3,49,0,260538
1100,2,42,0,26548945
1100,2,42,0,285181
1100,2,42,0,28518111
1100,2,50,0,289775
1100,2,50,0,26876274
1100,2,50,0,289775
1100,3,49,0,27983724
1100,3,49,0,26053812
1100,3,49,0,279837
1100,2,42,0,2918531
1100,3,81,0,781121
1100,2,42,0,265489
1100,3,71,0,686100
1100,2,40,0,292231
1100,2,40,0,2755328
1100,2,38,0,26313966
1100,2,38,0,263139
